GeneName	GeneID	WT_R	WT_L	MDX_R	MDX_L
Glt8d2	ENSMUSG00000020251	4.83	2.365	5.907	3.879
Ppm1m	ENSMUSG00000020253	7.48	8.695	6.92	6.866
Aldh1l2	ENSMUSG00000020256	0.735	1.295	1.235	1.349
Wdr82	ENSMUSG00000020257	11.545	10.57	10.959	12.201
Pofut2	ENSMUSG00000020260	24.05	42.48	58.864	54.779
Adarb1	ENSMUSG00000020262	12.04	8.08	12.957	11.758
Appl2	ENSMUSG00000020263	25.645	29.55	20.519	18.768
Slc36a2	ENSMUSG00000020264	15.86	1.8	2.607	0.14
Sumo3	ENSMUSG00000020265	74.14	74.95	90.266	104.918
Hint1	ENSMUSG00000020267	304.085	294.255	354.555	409.64
Lyrm7	ENSMUSG00000020268	1.42	2.89	2.787	3.137
Fbxw11	ENSMUSG00000020271	38.575	41.805	36.16	40.493
Stk10	ENSMUSG00000020272	1.88	2.685	1.612	1.968
Papolg	ENSMUSG00000020273	6.25	5.385	5.341	3.65
Rel	ENSMUSG00000020275	10.13	6.415	3.417	4.252
Pfkl	ENSMUSG00000020277	8.965	12.22	20.12	26.493
Pus10	ENSMUSG00000020280	9.47	13.21	16.107	18.848
Rhbdf1	ENSMUSG00000020282	17.995	40.69	34.326	34.812
Pex13	ENSMUSG00000020283	13.28	11.815	13.09	14.192
1810043G02Rik	ENSMUSG00000020284	7.03	12.725	8.715	10.35
Mpg	ENSMUSG00000020287	6.16	9.065	10.986	11.732
Ahsa2	ENSMUSG00000020288	39.92	29.61	57.686	62.234
Nprl3	ENSMUSG00000020289	9.1	9.54	12.987	15.591
Xpo1	ENSMUSG00000020290	55.995	57.265	80.313	85.131
Nsg2	ENSMUSG00000020297	2.05	0.335	0.466	0.12
Cpeb4	ENSMUSG00000020300	8.87	6.205	5.158	6.141
Stc2	ENSMUSG00000020303	1.015	7.585	1.056	2.88
Asb3	ENSMUSG00000020305	25.445	22.425	29.76	24.059
Cdc34	ENSMUSG00000020307	8.215	33.595	40.173	61.838
Tpgs1	ENSMUSG00000020308	8.635	19.7	19.461	17.502
Chac2	ENSMUSG00000020309	12.465	15.34	21.828	16.543
Madcam1	ENSMUSG00000020310	2.06	0.405	0.233	0.09
Erlec1	ENSMUSG00000020311	6.0	8.135	7.592	6.85
Shc2	ENSMUSG00000020312	1.025	1.915	2.254	1.768
Sptbn1	ENSMUSG00000020315	54.385	39.82	31.422	32.794
Wdpcp	ENSMUSG00000020319	4.81	12.39	4.975	7.189
Mdh1	ENSMUSG00000020321	124.28	138.64	123.553	154.609
Fstl3	ENSMUSG00000020325	11.025	13.58	7.323	8.298
Ccng1	ENSMUSG00000020326	23.08	46.68	42.744	55.514
Nudcd2	ENSMUSG00000020328	28.515	40.21	100.29	126.9
Polrmt	ENSMUSG00000020329	3.115	7.755	11.805	16.507
Hmmr	ENSMUSG00000020330	2.88	14.955	18.358	21.678
Acsl6	ENSMUSG00000020333	0.325	1.605	2.398	2.947
Slc22a4	ENSMUSG00000020334	1.74	1.755	1.502	1.728
Zfp354b	ENSMUSG00000020335	0.735	0.3	0.536	0.196
Cyfip2	ENSMUSG00000020340	1.235	2.26	0.892	1.032
Mgat1	ENSMUSG00000020346	19.945	20.71	26.75	29.897
Ppp2ca	ENSMUSG00000020349	118.845	133.46	140.656	150.11
Sgcd	ENSMUSG00000020354	10.66	6.21	4.189	3.17
Flt4	ENSMUSG00000020357	3.395	2.85	1.775	1.861
Hnrnpab	ENSMUSG00000020358	191.5	197.235	240.226	275.304
Phykpl	ENSMUSG00000020359	15.175	9.42	10.04	11.235
Hspa4	ENSMUSG00000020361	82.945	80.93	118.471	118.451
Cnot6	ENSMUSG00000020362	55.23	64.07	65.454	68.791
Gfpt2	ENSMUSG00000020363	71.585	86.39	49.487	46.091
Zfp354a	ENSMUSG00000020364	1.61	2.835	2.015	1.695
Mapk9	ENSMUSG00000020366	62.705	56.085	47.985	44.379
Canx	ENSMUSG00000020368	189.21	173.04	198.754	245.175
Rack1	ENSMUSG00000020372	140.485	156.41	271.891	389.52
Rasgef1c	ENSMUSG00000020374	30.23	17.29	7.216	2.89
Rufy1	ENSMUSG00000020375	22.57	14.13	16.477	16.973
Rnf130	ENSMUSG00000020376	144.24	109.875	99.893	79.377
Ltc4s	ENSMUSG00000020377	0.79	0.7	3.62	3.11
Rad50	ENSMUSG00000020380	13.375	7.985	10.813	8.565
3010026O09Rik	ENSMUSG00000020381	1.065	1.895	2.761	3.08
Clk4	ENSMUSG00000020385	90.915	90.62	70.479	70.156
Sar1b	ENSMUSG00000020386	82.61	83.915	88.275	92.494
Pdlim4	ENSMUSG00000020388	201.915	186.27	205.255	177.419
Cdkl3	ENSMUSG00000020389	5.67	3.715	3.5	5.451
Ube2b	ENSMUSG00000020390	136.47	131.21	105.464	107.016
Cdkn2aipnl	ENSMUSG00000020392	11.295	12.585	12.644	15.581
Kremen1	ENSMUSG00000020393	18.89	20.875	16.234	21.076
Itk	ENSMUSG00000020395	0.825	0.55	0.097	0.226
Med7	ENSMUSG00000020397	56.635	42.61	51.305	49.011
Havcr2	ENSMUSG00000020399	0.21	1.13	2.001	2.964
Tnip1	ENSMUSG00000020400	9.785	11.92	6.757	9.424
Vdac1	ENSMUSG00000020402	41.195	64.405	71.708	92.747
Upp1	ENSMUSG00000020407	17.855	14.44	46.45	54.815
Slu7	ENSMUSG00000020409	34.45	32.07	26.763	29.74
Ascc2	ENSMUSG00000020412	7.89	9.045	9.434	11.289
Hus1	ENSMUSG00000020413	3.015	2.15	2.421	3.986
Pttg1	ENSMUSG00000020415	79.22	78.77	55.508	49.427
Zfp607a	ENSMUSG00000020420	0.415	1.525	1.136	1.252
Tns3	ENSMUSG00000020422	7.21	3.555	4.479	5.584
Btg2	ENSMUSG00000020423	177.465	161.115	216.583	117.286
Gatsl3	ENSMUSG00000020424	3.28	9.17	6.89	5.032
Igfbp3	ENSMUSG00000020427	32.345	47.735	73.683	51.369
Pes1	ENSMUSG00000020430	20.625	20.24	27.366	36.617
Tcn2	ENSMUSG00000020432	32.925	62.415	51.299	51.951
Myo1g	ENSMUSG00000020437	0.575	0.91	1.895	2.771
Smtn	ENSMUSG00000020439	59.14	49.27	65.471	60.626
Arf5	ENSMUSG00000020440	81.195	120.305	138.042	158.028
2310033P09Rik	ENSMUSG00000020441	5.495	6.44	8.345	8.355
Guk1	ENSMUSG00000020444	31.73	47.025	52.97	58.235
Rnf185	ENSMUSG00000020448	21.945	25.145	22.354	24.119
Limk2	ENSMUSG00000020451	7.59	7.435	6.613	7.319
Patz1	ENSMUSG00000020453	2.83	6.2	3.034	4.129
Eif4enif1	ENSMUSG00000020454	20.295	14.65	16.49	19.69
Trim11	ENSMUSG00000020455	3.15	5.5	6.523	6.903
Ogdh	ENSMUSG00000020456	65.55	68.69	71.162	85.711
Drg1	ENSMUSG00000020457	114.21	149.825	184.372	191.978
Rtn4	ENSMUSG00000020458	93.925	110.44	130.163	165.165
Mtif2	ENSMUSG00000020459	17.015	10.135	17.183	18.462
Rps27a	ENSMUSG00000020460	937.58	688.315	1154.954	1190.808
Cfap36	ENSMUSG00000020462	52.66	50.16	47.609	45.538
Smek2	ENSMUSG00000020463	98.325	86.495	91.066	75.521
Pnpt1	ENSMUSG00000020464	28.77	33.905	44.362	52.298
Efemp1	ENSMUSG00000020467	59.22	30.86	17.389	13.12
Pold2	ENSMUSG00000020471	9.695	18.19	38.751	45.015
Zkscan17	ENSMUSG00000020472	4.2	4.84	6.54	8.165
Aebp1	ENSMUSG00000020473	15.34	67.6	40.38	49.5
Polm	ENSMUSG00000020474	0.455	3.565	1.802	2.388
Pgam2	ENSMUSG00000020475	12.55	106.24	41.369	78.015
Dbnl	ENSMUSG00000020476	15.595	28.67	27.579	36.583
Mrps24	ENSMUSG00000020477	40.255	55.655	64.162	72.378
Ccdc117	ENSMUSG00000020482	35.72	21.685	33.783	29.061
Dynll2	ENSMUSG00000020483	4.44	5.4	5.075	6.111
Xbp1	ENSMUSG00000020484	220.005	201.775	210.429	197.725
Supt4a	ENSMUSG00000020485	42.15	58.56	78.235	87.403
Sept4	ENSMUSG00000020486	32.905	48.745	76.424	55.914
2810021J22Rik	ENSMUSG00000020491	1.02	0.525	0.726	0.766
Ska2	ENSMUSG00000020492	8.045	13.275	19.317	18.518
Prr11	ENSMUSG00000020493	0.465	1.16	1.675	2.075
Smg8	ENSMUSG00000020495	3.19	4.175	5.514	6.936
Rnf187	ENSMUSG00000020496	58.985	88.585	97.446	118.015
Tubd1	ENSMUSG00000020513	1.92	3.815	4.988	5.218
Mrpl22	ENSMUSG00000020514	20.1	24.76	52.591	65.734
Cnot8	ENSMUSG00000020515	26.61	32.05	40.569	44.259
Rps6kb1	ENSMUSG00000020516	23.095	19.075	20.579	22.681
Sap30l	ENSMUSG00000020519	6.57	12.375	9.347	11.132
Galnt10	ENSMUSG00000020520	7.41	8.805	14.605	17.263
Rnft1	ENSMUSG00000020521	42.735	38.555	34.329	29.557
Mfap3	ENSMUSG00000020522	15.58	13.91	16.234	17.489
Fam114a2	ENSMUSG00000020523	32.48	36.51	37.722	39.271
Gria1	ENSMUSG00000020524	0.3	1.435	0.077	0.509
Ppm1d	ENSMUSG00000020525	12.515	8.03	8.501	8.362
Znhit3	ENSMUSG00000020526	20.12	19.425	24.242	28.172
Myo19	ENSMUSG00000020527	0.48	0.66	0.922	1.335
Prpsap2	ENSMUSG00000020528	12.745	9.075	12.661	13.11
Ggnbp2	ENSMUSG00000020530	77.905	53.67	53.813	62.714
Acaca	ENSMUSG00000020532	3.42	3.8	2.414	2.844
Shmt1	ENSMUSG00000020534	8.065	5.115	14.336	20.876
Llgl1	ENSMUSG00000020536	5.125	8.055	12.268	16.154
Drg2	ENSMUSG00000020537	23.18	26.735	38.019	46.194
Srebf1	ENSMUSG00000020538	20.805	21.465	14.099	16.324
Tom1l1	ENSMUSG00000020541	9.255	13.135	6.304	6.44
Myocd	ENSMUSG00000020542	2.115	2.01	1.289	1.562
Cox11	ENSMUSG00000020544	8.855	18.26	16.17	14.572
Stxbp4	ENSMUSG00000020546	5.775	7.07	7.246	7.652
Bzw2	ENSMUSG00000020547	33.24	52.65	46.983	68.611
Elac2	ENSMUSG00000020549	6.525	8.28	12.641	17.892
Pctp	ENSMUSG00000020553	2.435	1.265	1.808	2.408
Twistnb	ENSMUSG00000020561	35.09	35.385	29.021	29.427
Atxn7l1	ENSMUSG00000020564	5.56	6.565	5.751	6.95
Sypl	ENSMUSG00000020570	124.155	103.05	117.829	118.035
Pdia6	ENSMUSG00000020571	113.68	172.86	222.481	248.425
Nampt	ENSMUSG00000020572	25.11	21.72	24.505	30.593
Pik3cg	ENSMUSG00000020573	0.475	0.32	0.723	0.816
Nbas	ENSMUSG00000020576	2.885	2.755	2.128	2.721
Tspan13	ENSMUSG00000020577	132.79	109.535	140.34	75.578
Rock2	ENSMUSG00000020580	43.045	43.165	33.836	31.469
Matn3	ENSMUSG00000020583	1.14	2.335	8.991	4.525
Laptm4a	ENSMUSG00000020585	500.485	489.02	532.92	459.5
Fam49a	ENSMUSG00000020589	35.415	23.295	20.293	17.166
Snx13	ENSMUSG00000020590	17.82	22.745	14.799	12.098
Sdc1	ENSMUSG00000020592	10.315	18.42	29.397	39.634
Lpin1	ENSMUSG00000020593	3.585	5.04	3.03	3.8
Pum2	ENSMUSG00000020594	8.86	5.34	4.805	7.722
Nrcam	ENSMUSG00000020598	4.37	20.165	9.254	21.712
Rgs9	ENSMUSG00000020599	0.375	0.61	0.15	0.193
Trib2	ENSMUSG00000020601	16.115	10.88	9.311	5.108
Arsg	ENSMUSG00000020604	2.405	2.605	3.733	2.607
Hs1bp3	ENSMUSG00000020605	1.255	1.33	2.005	2.401
Fam84a	ENSMUSG00000020607	0.785	1.88	0.506	0.276
Smc6	ENSMUSG00000020608	44.195	34.205	40.316	33.4
Amz2	ENSMUSG00000020610	21.685	24.95	24.402	24.802
Gna13	ENSMUSG00000020611	42.755	45.745	27.229	34.898
Prkar1a	ENSMUSG00000020612	235.635	218.19	220.946	236.29
Fam20a	ENSMUSG00000020614	4.555	9.93	7.143	6.667
Abca8b	ENSMUSG00000020620	69.065	32.395	12.291	5.245
Rdh14	ENSMUSG00000020621	17.155	25.155	32.751	25.395
Map2k6	ENSMUSG00000020623	5.835	2.165	3.144	2.135
Trappc12	ENSMUSG00000020628	8.775	11.625	10.869	11.275
Adi1	ENSMUSG00000020629	22.95	20.93	27.576	32.531
Rnaseh1	ENSMUSG00000020630	5.84	7.805	9.051	11.149
Ubxn2a	ENSMUSG00000020634	32.085	24.315	21.272	17.263
Fkbp1b	ENSMUSG00000020635	4.585	2.875	8.575	5.728
Cmpk2	ENSMUSG00000020638	4.48	3.465	5.361	5.228
Pfn4	ENSMUSG00000020639	0.0	0.225	0.406	0.5
Itsn2	ENSMUSG00000020640	12.205	13.75	11.718	10.616
Rsad2	ENSMUSG00000020641	8.68	8.885	11.858	18.715
Rnf144a	ENSMUSG00000020642	4.22	3.845	4.878	4.049
Id2	ENSMUSG00000020644	49.455	72.565	89.181	88.029
Mboat2	ENSMUSG00000020646	30.425	35.32	18.415	22.191
Ncoa1	ENSMUSG00000020647	13.74	13.19	12.111	14.093
Dus4l	ENSMUSG00000020648	1.95	2.49	3.839	5.108
Rrm2	ENSMUSG00000020649	10.475	34.15	146.587	254.252
Bcap29	ENSMUSG00000020650	35.41	40.58	30.42	32.717
Cenpo	ENSMUSG00000020652	4.09	2.59	3.886	3.8
Klf11	ENSMUSG00000020653	13.33	12.09	12.468	11.632
Adcy3	ENSMUSG00000020654	1.43	2.28	4.182	5.368
Grhl1	ENSMUSG00000020656	1.365	0.695	0.36	0.443
Dnajc27	ENSMUSG00000020657	5.455	5.98	2.571	2.731
Efr3b	ENSMUSG00000020658	2.03	2.185	1.109	1.209
Cbll1	ENSMUSG00000020659	11.36	14.525	13.463	16.357
Dnmt3a	ENSMUSG00000020661	9.455	11.585	15.608	13.963
Dld	ENSMUSG00000020664	101.875	104.01	122.154	128.934
Kif3c	ENSMUSG00000020668	2.035	5.42	1.412	2.654
Sh3yl1	ENSMUSG00000020669	3.635	3.805	2.231	1.838
Rab10	ENSMUSG00000020671	145.935	144.925	122.191	120.706
Sntg2	ENSMUSG00000020672	0.33	1.105	0.12	0.629
Pxdn	ENSMUSG00000020674	14.215	19.735	23.993	24.918
Ccl11	ENSMUSG00000020676	110.545	118.79	119.291	77.02
Ddx52	ENSMUSG00000020677	18.89	17.26	23.633	23.939
Taf15	ENSMUSG00000020680	9.89	5.995	3.487	2.521
Ace	ENSMUSG00000020681	4.835	9.27	11.752	11.086
Mmp28	ENSMUSG00000020682	0.95	1.19	0.989	0.643
Rasl10b	ENSMUSG00000020684	1.46	0.67	0.549	0.423
Cdc27	ENSMUSG00000020687	24.725	24.97	34.905	31.512
Itgb3	ENSMUSG00000020689	3.3	1.44	1.129	1.522
Mettl2	ENSMUSG00000020691	7.255	9.72	9.624	9.953
Nle1	ENSMUSG00000020692	3.37	3.5	3.793	5.634
Tlk2	ENSMUSG00000020694	12.47	12.51	9.251	11.818
Mrc2	ENSMUSG00000020695	7.27	9.945	10.839	10.629
Rffl	ENSMUSG00000020696	3.995	5.105	3.407	4.076
Lig3	ENSMUSG00000020697	4.76	5.1	6.853	8.362
Map3k3	ENSMUSG00000020700	17.375	22.84	24.985	27.199
Ddx42	ENSMUSG00000020705	23.865	19.88	18.578	20.786
Ftsj3	ENSMUSG00000020706	23.175	24.915	26.85	42.138
Rnf135	ENSMUSG00000020707	2.81	2.445	3.457	3.13
Psmc5	ENSMUSG00000020708	70.3	98.465	144.412	185.881
Adap2	ENSMUSG00000020709	1.625	2.975	3.427	3.44
Ern1	ENSMUSG00000020715	2.88	2.33	2.194	2.321
Nf1	ENSMUSG00000020716	3.97	1.73	1.675	1.359
Pecam1	ENSMUSG00000020717	60.045	63.735	67.676	71.052
Polg2	ENSMUSG00000020718	2.815	2.97	2.967	4.049
Ddx5	ENSMUSG00000020719	432.445	337.35	248.488	240.163
Psmd12	ENSMUSG00000020720	84.12	88.55	114.622	138.248
Helz	ENSMUSG00000020721	4.605	4.145	4.239	5.022
Cacng1	ENSMUSG00000020722	1.505	17.64	59.374	73.976
Cep112	ENSMUSG00000020728	6.01	6.23	4.645	4.775
Slc9a3r1	ENSMUSG00000020733	20.055	26.365	15.964	20.063
Nt5c	ENSMUSG00000020736	14.665	26.405	34.545	37.446
Hn1	ENSMUSG00000020737	55.175	118.7	189.747	251.102
Sumo2	ENSMUSG00000020738	445.365	497.35	617.322	481.971
Nup85	ENSMUSG00000020739	19.83	24.275	41.405	59.973
Gga3	ENSMUSG00000020740	3.605	4.085	3.626	4.106
Cluh	ENSMUSG00000020741	5.29	8.37	15.947	22.045
Mif4gd	ENSMUSG00000020743	14.95	19.375	15.774	16.457
Slc25a19	ENSMUSG00000020744	6.065	8.54	8.075	8.968
Pafah1b1	ENSMUSG00000020745	45.185	45.275	41.275	35.987
Tmem94	ENSMUSG00000020747	1.785	4.68	3.43	4.456
Recql5	ENSMUSG00000020752	1.29	2.74	2.744	3.163
Sap30bp	ENSMUSG00000020755	9.755	12.475	10.616	13.923
Itgb4	ENSMUSG00000020758	8.965	14.115	4.565	5.401
Galk1	ENSMUSG00000020766	11.285	20.635	45.275	61.458
Unk	ENSMUSG00000020770	4.395	5.185	6.244	5.731
Trim47	ENSMUSG00000020773	23.96	35.63	91.535	90.263
Aspa	ENSMUSG00000020774	131.25	247.835	22.331	42.99
Mrpl38	ENSMUSG00000020775	10.615	14.745	36.38	45.957
Fbf1	ENSMUSG00000020776	5.235	6.41	5.847	7.083
Acox1	ENSMUSG00000020777	15.99	21.575	15.824	18.728
Ten1	ENSMUSG00000020778	10.935	28.11	30.976	34.053
Srp68	ENSMUSG00000020780	18.07	27.785	35.907	44.049
Tsen54	ENSMUSG00000020781	2.98	6.925	7.143	7.865
Llgl2	ENSMUSG00000020782	1.105	1.15	1.119	0.693
Ncbp3	ENSMUSG00000020783	2.335	2.01	2.547	2.361
Camkk1	ENSMUSG00000020785	0.77	0.515	2.371	1.159
P2rx1	ENSMUSG00000020787	11.48	7.49	6.623	5.698
Atp2a3	ENSMUSG00000020788	18.775	18.545	11.718	12.944
Ankfy1	ENSMUSG00000020790	9.225	11.195	9.614	12.188
Exoc7	ENSMUSG00000020792	16.6	21.52	20.306	22.801
Galr2	ENSMUSG00000020793	0.375	0.46	2.174	0.676
Ube2g1	ENSMUSG00000020794	38.83	47.955	45.315	44.535
Med31	ENSMUSG00000020801	22.945	27.02	22.461	19.307
Ube2o	ENSMUSG00000020802	3.51	2.77	2.448	3.25
Txndc17	ENSMUSG00000020803	99.32	144.775	160.27	169.813
Rhbdf2	ENSMUSG00000020806	7.5	11.005	9.221	10.117
4933427D14Rik	ENSMUSG00000020807	3.52	4.805	6.43	3.973
Fam64a	ENSMUSG00000020808	1.685	13.78	12.268	15.521
Cygb	ENSMUSG00000020810	4.35	7.11	8.838	10.157
Wscd1	ENSMUSG00000020811	2.38	3.21	3.606	2.541
1810032O08Rik	ENSMUSG00000020812	8.105	11.185	12.304	10.889
Mxra7	ENSMUSG00000020814	44.15	57.165	60.26	55.854
Rabep1	ENSMUSG00000020817	28.825	19.955	19.61	19.56
Mfsd11	ENSMUSG00000020818	11.535	14.335	16.32	22.844
Kif1c	ENSMUSG00000020821	2.05	2.43	1.945	2.028
Sec14l1	ENSMUSG00000020823	14.885	18.62	19.454	22.464
Nos2	ENSMUSG00000020826	1.865	2.27	4.349	3.207
Mink1	ENSMUSG00000020827	1.62	1.935	1.056	1.182
Pld2	ENSMUSG00000020828	4.155	5.015	5.015	5.135
Slc46a1	ENSMUSG00000020829	1.88	2.665	5.008	4.113
0610010K14Rik	ENSMUSG00000020831	22.92	44.19	47.096	52.761
Eral1	ENSMUSG00000020832	6.39	9.015	13.41	14.855
Dhrs13	ENSMUSG00000020834	1.72	3.16	3.48	3.69
Coro6	ENSMUSG00000020836	1.675	8.98	4.176	6.454
Tmigd1	ENSMUSG00000020839	0.31	1.615	1.911	2.641
Blmh	ENSMUSG00000020840	47.775	60.695	67.882	73.187
Cpd	ENSMUSG00000020841	18.895	17.745	12.637	13.526
Timm22	ENSMUSG00000020843	10.135	14.52	27.413	30.386
Nxn	ENSMUSG00000020844	2.805	4.66	5.738	7.233
Rflnb	ENSMUSG00000020846	27.13	18.835	23.114	15.225
Rph3al	ENSMUSG00000020847	0.63	1.44	1.289	1.002
Ywhae	ENSMUSG00000020849	353.405	332.16	295.131	350.732
Prpf8	ENSMUSG00000020850	9.91	9.3	9.517	13.869
Nme2	ENSMUSG00000020857	309.75	347.02	460.772	512.001
Spag9	ENSMUSG00000020859	41.705	38.285	19.814	20.08
Luc7l3	ENSMUSG00000020863	37.76	28.415	24.242	25.601
Ankrd40	ENSMUSG00000020864	32.35	36.695	29.727	41.945
Abcc3	ENSMUSG00000020865	0.025	0.325	1.482	3.004
Cacna1g	ENSMUSG00000020866	1.055	1.855	0.986	0.912
Xylt2	ENSMUSG00000020868	4.335	4.585	6.071	5.711
Lrrc59	ENSMUSG00000020869	52.58	69.98	124.489	160.429
Slc35b1	ENSMUSG00000020873	53.02	59.06	77.845	82.208
Hoxb9	ENSMUSG00000020875	1.365	0.5	0.663	0.35
Snx11	ENSMUSG00000020876	6.035	8.995	7.333	7.156
Scrn2	ENSMUSG00000020877	2.28	5.455	5.195	5.075
Cacnb1	ENSMUSG00000020882	1.21	9.215	5.611	9.451
Fbxl20	ENSMUSG00000020883	12.58	9.625	8.185	7.04
Asgr1	ENSMUSG00000020884	0.3	1.95	0.097	0.443
Dlg4	ENSMUSG00000020886	1.26	0.955	2.827	2.115
Dvl2	ENSMUSG00000020888	2.92	3.155	4.938	5.594
Nr1d1	ENSMUSG00000020889	15.21	21.185	26.46	25.974
Per1	ENSMUSG00000020893	6.47	3.755	4.565	5.471
Vamp2	ENSMUSG00000020894	54.725	42.605	26.287	21.688
Tmem107	ENSMUSG00000020895	16.75	21.66	19.973	18.598
Aurkb	ENSMUSG00000020897	3.26	7.275	23.79	34.023
Ctc1	ENSMUSG00000020898	5.095	8.605	10.706	15.428
Pfas	ENSMUSG00000020899	1.52	1.61	2.198	2.9
Myh10	ENSMUSG00000020900	5.78	5.485	4.809	5.225
Pik3r5	ENSMUSG00000020901	0.36	0.9	3.017	4.382
Ntn1	ENSMUSG00000020902	5.26	3.6	3.29	3.593
Stx8	ENSMUSG00000020903	32.795	23.07	23.74	23.933
Myh3	ENSMUSG00000020908	0.045	0.505	19.381	37.083
Adprm	ENSMUSG00000020910	18.93	16.99	22.657	19.847
Krt19	ENSMUSG00000020911	5.35	23.085	2.517	0.999
Top2a	ENSMUSG00000020914	7.73	23.845	51.592	67.442
Acly	ENSMUSG00000020917	24.945	30.83	34.312	38.901
Kat2a	ENSMUSG00000020918	5.3	6.775	9.594	13.726
Stat5b	ENSMUSG00000020919	8.585	10.475	9.8	10.573
Tmem101	ENSMUSG00000020921	2.265	3.65	5.231	6.667
Lsm12	ENSMUSG00000020922	17.055	14.29	20.703	23.27
Ubtf	ENSMUSG00000020923	19.55	17.58	20.396	23.42
Ccdc43	ENSMUSG00000020925	12.835	20.205	21.412	24.242
Adam11	ENSMUSG00000020926	2.085	4.71	0.936	0.962
Higd1b	ENSMUSG00000020928	11.13	10.27	24.149	14.166
Eftud2	ENSMUSG00000020929	35.12	48.72	65.931	84.096
Gfap	ENSMUSG00000020932	0.35	1.905	0.376	0.546
Dcakd	ENSMUSG00000020935	12.765	14.92	27.772	38.525
Nmt1	ENSMUSG00000020936	11.155	14.92	22.328	30.902
Plcd3	ENSMUSG00000020937	4.81	5.0	3.28	3.733
Map3k14	ENSMUSG00000020941	6.28	5.605	6.237	8.022
Gosr2	ENSMUSG00000020946	39.535	54.24	54.542	60.393
Klhl28	ENSMUSG00000020948	4.63	7.915	9.277	8.971
Fkbp3	ENSMUSG00000020949	201.275	219.99	392.207	363.686
Scfd1	ENSMUSG00000020952	52.485	43.2	56.374	56.124
Coch	ENSMUSG00000020953	26.215	12.47	1.339	1.219
Strn3	ENSMUSG00000020954	97.685	102.34	110.779	104.399
Ap4s1	ENSMUSG00000020955	30.91	32.375	21.172	18.182
Dtd2	ENSMUSG00000020956	5.285	4.995	6.747	8.079
Ston2	ENSMUSG00000020961	4.66	10.575	6.703	7.446
Gtf2a1	ENSMUSG00000020962	7.41	8.575	4.799	5.927
Tshr	ENSMUSG00000020963	5.86	6.42	1.522	0.44
Sel1l	ENSMUSG00000020964	28.385	36.27	35.048	36.74
Dnaaf2	ENSMUSG00000020973	3.585	4.045	6.367	7.013
Pole2	ENSMUSG00000020974	1.725	2.075	5.814	8.348
Klhdc2	ENSMUSG00000020978	56.66	64.33	87.446	95.241
Nemf	ENSMUSG00000020982	40.815	40.905	44.892	40.746
Sec23a	ENSMUSG00000020986	26.89	28.99	32.428	36.074
L2hgdh	ENSMUSG00000020988	1.99	2.975	4.153	5.305
Trappc6b	ENSMUSG00000020993	78.335	94.13	76.893	62.997
Pnn	ENSMUSG00000020994	22.39	21.06	21.142	22.597
Mia2	ENSMUSG00000021000	88.085	74.755	59.261	48.938
Galc	ENSMUSG00000021003	4.835	4.515	2.168	3.869
Spata7	ENSMUSG00000021007	5.555	3.195	2.93	3.513
Ptpn21	ENSMUSG00000021009	4.73	4.295	2.824	3.493
Zc3h14	ENSMUSG00000021012	43.2	45.17	44.016	50.763
Ttc8	ENSMUSG00000021013	8.125	7.04	6.374	6.34
Polr2h	ENSMUSG00000021018	23.035	24.36	41.475	50.746
Ppp2r3c	ENSMUSG00000021022	26.335	41.12	43.44	45.801
1110008L16Rik	ENSMUSG00000021023	4.09	6.02	10.433	10.573
Psma6	ENSMUSG00000021024	356.63	389.285	608.551	681.451
Nfkbia	ENSMUSG00000021025	337.06	459.77	337.572	295.251
Ralgapa1	ENSMUSG00000021027	14.33	11.285	7.716	7.516
Mbip	ENSMUSG00000021028	18.18	18.555	14.735	14.925
Gstz1	ENSMUSG00000021033	17.495	24.87	19.883	24.302
Sptlc2	ENSMUSG00000021036	77.41	95.285	94.232	92.421
Ahsa1	ENSMUSG00000021037	62.95	66.85	124.535	142.844
Vipas39	ENSMUSG00000021038	8.79	10.73	11.978	13.06
Snw1	ENSMUSG00000021039	57.375	42.92	51.042	53.45
Slirp	ENSMUSG00000021040	169.225	215.175	382.354	364.019
Adck1	ENSMUSG00000021044	3.0	5.69	5.098	5.085
Mthfd1	ENSMUSG00000021048	12.17	11.75	19.943	24.935
Ppp2r5e	ENSMUSG00000021051	9.44	9.99	7.652	8.282
Sgpp1	ENSMUSG00000021054	26.005	19.86	30.013	26.294
Sptb	ENSMUSG00000021061	0.555	0.47	0.15	0.16
Rab15	ENSMUSG00000021062	1.575	1.885	4.848	4.502
Fut8	ENSMUSG00000021065	45.0	28.485	25.241	20.939
Atl1	ENSMUSG00000021066	4.425	3.73	2.108	1.389
Sav1	ENSMUSG00000021067	5.015	5.265	7.453	8.478
Nin	ENSMUSG00000021068	2.37	2.375	2.654	2.957
Pygl	ENSMUSG00000021069	2.095	2.12	3.59	3.993
Bdkrb2	ENSMUSG00000021070	0.915	2.2	1.945	2.614
Tmx1	ENSMUSG00000021072	56.245	54.185	68.089	62.844
Actr10	ENSMUSG00000021076	31.94	28.92	35.205	38.402
Timm9	ENSMUSG00000021079	26.76	25.345	27.126	29.913
Rtn1	ENSMUSG00000021087	2.045	1.635	3.49	1.698
Serpina3n	ENSMUSG00000021091	4.185	9.465	17.969	19.667
Dhrs7	ENSMUSG00000021094	40.145	44.13	39.474	29.604
Ppm1a	ENSMUSG00000021096	20.835	20.375	14.775	20.549
